Frame#	Time
0	11:14:33 549577
1	11:14:33 574644
2	11:14:33 599632
3	11:14:33 624474
4	11:14:33 649558
5	11:14:33 674571
6	11:14:33 699577
7	11:14:33 724646
8	11:14:33 749654
9	11:14:33 774582
10	11:14:33 799575
11	11:14:33 824669
12	11:14:33 849689
13	11:14:33 874637
14	11:14:33 899527
15	11:14:33 924637
16	11:14:33 949692
17	11:14:33 974744
18	11:14:33 999712
19	11:14:34 24642
20	11:14:34 49620
21	11:14:34 74710
22	11:14:34 99644
23	11:14:34 124682
24	11:14:34 149592
25	11:14:34 174799
26	11:14:34 199704
27	11:14:34 224786
28	11:14:34 249720
29	11:14:34 274678
30	11:14:34 299693
31	11:14:34 324678
32	11:14:34 349726
33	11:14:34 374741
34	11:14:34 399647
35	11:14:34 424780
36	11:14:34 449651
37	11:14:34 474684
38	11:14:34 499752
39	11:14:34 524718
40	11:14:34 549647
41	11:14:34 574663
42	11:14:34 599630
43	11:14:34 624703
44	11:14:34 649680
45	11:14:34 674802
46	11:14:34 699704
47	11:14:34 724677
48	11:14:34 749733
49	11:14:34 774679
50	11:14:34 799751
51	11:14:34 824729
52	11:14:34 849712
53	11:14:34 874648
54	11:14:34 899643
55	11:14:34 924768
56	11:14:34 949696
57	11:14:34 974645
58	11:14:34 999739
59	11:14:35 24647
60	11:14:35 49773
61	11:14:35 74697
62	11:14:35 99694
63	11:14:35 124634
64	11:14:35 149620
65	11:14:35 174744
66	11:14:35 199704
67	11:14:35 224774
68	11:14:35 249724
69	11:14:35 274691
70	11:14:35 299670
71	11:14:35 324745
72	11:14:35 349730
73	11:14:35 374732
74	11:14:35 399770
75	11:14:35 424758
76	11:14:35 449843
77	11:14:35 474774
78	11:14:35 499668
79	11:14:35 524785
80	11:14:35 549704
81	11:14:35 574769
82	11:14:35 599706
83	11:14:35 624765
84	11:14:35 649772
85	11:14:35 674701
86	11:14:35 699698
87	11:14:35 724679
88	11:14:35 749780
89	11:14:35 774774
90	11:14:35 799747
91	11:14:35 824692
92	11:14:35 849675
93	11:14:35 874749
94	11:14:35 899783
