Time	Position	Counts	Elapsed	USecs
11:14:33 422440	70.0055	140011	4035707.708	4035707733
11:14:33 470318	70.16200000000001	140324	4035755.586	4035755628
11:14:33 518260	70.53449999999999	141069	4035803.528	4035803551
11:14:33 566189	71.119	142238	4035851.457	4035851479
11:14:33 614146	71.809	143618	4035899.414	4035899443
11:14:33 646101	72.40049999999999	144801	4035931.369	4035931395
11:14:33 678074	72.879	145758	4035963.342	4035963365
11:14:33 710001	73.34350000000001	146687	4035995.269	4035995296
11:14:33 741961	73.82599999999999	147652	4036027.229	4036027258
11:14:33 773931	74.3095	148619	4036059.199	4036059223
11:14:33 805881	74.78400000000001	149568	4036091.149	4036091170
11:14:33 837816	75.26049999999999	150521	4036123.084	4036123112
11:14:33 869823	75.7385	151477	4036155.091	4036155119
11:14:33 901718	76.226	152452	4036186.986	4036187006
11:14:33 933716	76.697	153394	4036218.984	4036219011
11:14:33 965701	77.1765	154353	4036250.969	4036250991
11:14:33 997641	77.655	155310	4036282.909	4036282929
11:14:34 29602	78.13849999999999	156277	4036314.87	4036314893
11:14:34 61566	78.6135	157227	4036346.834	4036346868
11:14:34 93499	79.089	158178	4036378.767	4036378789
11:14:34 125478	79.5635	159127	4036410.746	4036410768
11:14:34 157441	80.04649999999999	160093	4036442.709	4036442756
11:14:34 189442	80.52549999999999	161051	4036474.71	4036474731
11:14:34 221475	81.00449999999999	162009	4036506.743	4036506772
11:14:34 253344	81.4795	162959	4036538.612	4036538633
11:14:34 285302	81.9545	163909	4036570.57	4036570610
11:14:34 317281	82.438	164876	4036602.549	4036602575
11:14:34 349263	82.913	165826	4036634.531	4036634560
11:14:34 381270	83.40349999999999	166807	4036666.538	4036666559
11:14:34 413214	83.8785	167757	4036698.482	4036698504
11:14:34 445145	84.3535	168707	4036730.413	4036730441
11:14:34 477130	84.82850000000001	169657	4036762.398	4036762421
11:14:34 509079	85.3115	170623	4036794.347	4036794368
11:14:34 541062	85.7865	171573	4036826.33	4036826358
11:14:34 573013	86.27	172540	4036858.281	4036858303
11:14:34 604983	86.7415	173483	4036890.251	4036890286
11:14:34 636944	87.2165	174433	4036922.212	4036922240
11:14:34 668941	87.70999999999999	175420	4036954.209	4036954230
11:14:34 700858	88.178	176356	4036986.126	4036986149
11:14:34 732838	88.66	177320	4037018.106	4037018127
11:14:34 764809	89.1365	178273	4037050.077	4037050112
11:14:34 796765	89.6225	179245	4037082.033	4037082054
11:14:34 828726	90.102	180204	4037113.994	4037114024
11:14:34 860672	90.5735	181147	4037145.94	4037145968
11:14:34 892635	91.048	182096	4037177.903	4037177926
11:14:34 924582	91.52249999999999	183045	4037209.85	4037209872
11:14:34 956531	92.01000000000001	184020	4037241.799	4037241828
11:14:34 988520	92.485	184970	4037273.788	4037273815
11:14:35 20490	92.964	185928	4037305.758	4037305796
11:14:35 52460	93.447	186894	4037337.728	4037337754
11:14:35 84404	93.9255	187851	4037369.672	4037369697
11:14:35 116355	94.401	188802	4037401.623	4037401678
11:14:35 148368	94.872	189744	4037433.636	4037433658
11:14:35 180295	95.355	190710	4037465.563	4037465584
11:14:35 212285	95.8295	191659	4037497.553	4037497595
11:14:35 244259	96.313	192626	4037529.527	4037529549
11:14:35 276180	96.7955	193591	4037561.448	4037561474
11:14:35 308125	97.271	194542	4037593.393	4037593446
11:14:35 340133	97.74550000000001	195491	4037625.401	4037625429
11:14:35 372059	98.23350000000001	196467	4037657.327	4037657349
11:14:35 404107	98.7115	197423	4037689.375	4037689403
11:14:35 436052	99.19499999999999	198390	4037721.32	4037721344
11:14:35 468021	99.6615	199323	4037753.289	4037753318
11:14:35 499957	100.145	200290	4037785.225	4037785252
11:14:35 531948	100.62	201240	4037817.216	4037817237
11:14:35 563891	101.0955	202191	4037849.159	4037849182
11:14:35 595867	101.578	203156	4037881.135	4037881161
11:14:35 627803	102.053	204106	4037913.071	4037913115
11:14:35 659773	102.536	205072	4037945.041	4037945082
11:14:35 691762	103.0115	206023	4037977.03	4037977058
11:14:35 723682	103.49	206980	4038008.95	4038008975
11:14:35 755666	103.973	207946	4038040.934	4038040956
11:14:35 787642	104.444	208888	4038072.91	4038072950
11:14:35 819597	104.927	209854	4038104.865	4038104893
11:14:35 851544	105.4025	210805	4038136.812	4038136836
11:14:35 883483	105.885	211770	4038168.751	4038168799
11:14:35 915492	106.36	212720	4038200.76	4038200785
11:14:35 947453	106.8465	213693	4038232.721	4038232749
11:14:35 979368	107.3145	214629	4038264.636	4038264667
11:14:36 11361	107.7895	215579	4038296.629	4038296657
11:14:36 43280	108.2725	216545	4038328.548	4038328576
11:14:36 75273	108.751	217502	4038360.541	4038360562
11:14:36 107301	109.2345	218469	4038392.569	4038392591
11:14:36 139204	109.7055	219411	4038424.472	4038424495
11:14:36 171312	110.1925	220385	4038456.58	4038456618
11:14:36 203053	110.663	221326	4038488.321	4038488356
11:14:36 235035	111.1425	222285	4038520.303	4038520324
11:14:36 267015	111.6215	223243	4038552.283	4038552312
11:14:36 298950	112.097	224194	4038584.218	4038584242
11:14:36 330924	112.5795	225159	4038616.192	4038616220
11:14:36 362956	113.0545	226109	4038648.224	4038648251
11:14:36 394835	113.5375	227075	4038680.103	4038680140
11:14:36 426809	114.0125	228025	4038712.077	4038712102
11:14:36 458809	114.4915	228983	4038744.077	4038744099
11:14:36 490755	114.9705	229941	4038776.023	4038776045
11:14:36 522740	115.4455	230891	4038808.008	4038808036
11:14:36 554673	115.936	231872	4038839.941	4038839969
11:14:36 586731	116.404	232808	4038871.999	4038872024
11:14:36 618646	116.8865	233773	4038903.914	4038903937
11:14:36 650588	117.3615	234723	4038935.856	4038935877
11:14:36 682547	117.844	235688	4038967.815	4038967844
11:14:36 714552	118.3275	236655	4038999.82	4038999848
11:14:36 746492	118.81	237620	4039031.76	4039031782
11:14:36 778443	119.278	238556	4039063.711	4039063732
11:14:36 810438	119.7525	239505	4039095.706	4039095728
11:14:36 842356	120.236	240472	4039127.624	4039127652
11:14:36 874306	120.7105	241421	4039159.574	4039159598
11:14:36 906270	121.1935	242387	4039191.538	4039191566
11:14:36 938283	121.676	243352	4039223.551	4039223581
11:14:36 970333	122.1515	244303	4039255.601	4039255622
