Time	Position	Counts	Elapsed	USecs
13:19:06 27483	189.461	378922	6382740.123	6382740149
13:19:06 59453	189.944	379888	6382772.093	6382772119
13:19:06 91418	190.427	380854	6382804.058	6382804080
13:19:06 123348	190.8945	381789	6382835.988	6382836016
13:19:06 155335	191.385	382770	6382867.975	6382868002
13:19:06 187321	191.852	383704	6382899.961	6382900056
13:19:06 219251	192.339	384678	6382931.891	6382931916
13:19:06 251230	192.814	385628	6382963.87	6382963891
13:19:06 283194	193.2895	386579	6382995.834	6382995856
13:19:06 315180	193.769	387538	6383027.82	6383027842
13:19:06 347117	194.2445	388489	6383059.757	6383059779
13:19:06 379126	194.7345	389469	6383091.766	6383091786
13:19:06 411005	195.2055	390411	6383123.645	6383123666
13:19:06 442986	195.6805	391361	6383155.626	6383155651
13:19:06 474990	196.163	392326	6383187.63	6383187662
13:19:06 506920	196.638	393276	6383219.56	6383219582
13:19:06 538917	197.1215	394243	6383251.557	6383251585
13:19:06 570827	197.597	395194	6383283.467	6383283489
13:19:06 602881	198.084	396168	6383315.521	6383315551
13:19:06 634812	198.551	397102	6383347.452	6383347474
13:19:06 666798	199.0285	398057	6383379.438	6383379460
13:19:06 698761	199.427	398854	6383411.401	6383411422
13:19:06 730686	199.7175	399435	6383443.326	6383443347
13:19:06 762663	199.9085	399817	6383475.303	6383475338
13:19:06 794642	199.9965	399993	6383507.282	6383507310
13:19:06 826620	200.003	400006	6383539.26	6383539282
13:19:06 858586	200.003	400006	6383571.226	6383571265
13:19:06 890540	200.0025	400005	6383603.18	6383603203
13:19:06 922520	200.002	400004	6383635.16	6383635177
13:19:06 954421	200.0015	400003	6383667.061	6383667086
