Frame#	Time
290	13:19:04 2761
291	13:19:04 27721
292	13:19:04 52916
293	13:19:04 77713
294	13:19:04 102738
295	13:19:04 127765
296	13:19:04 152830
297	13:19:04 177736
298	13:19:04 202744
299	13:19:04 227822
300	13:19:04 252903
301	13:19:04 277815
302	13:19:04 302935
303	13:19:04 327766
304	13:19:04 352764
305	13:19:04 377871
306	13:19:04 402762
307	13:19:04 427825
308	13:19:04 452812
309	13:19:04 477819
310	13:19:04 502751
311	13:19:04 527738
312	13:19:04 552853
313	13:19:04 577758
314	13:19:04 602814
315	13:19:04 627886
316	13:19:04 652904
317	13:19:04 677854
318	13:19:04 702930
319	13:19:04 727905
320	13:19:04 752747
321	13:19:04 777912
322	13:19:04 802866
323	13:19:04 827801
324	13:19:04 852888
325	13:19:04 877849
326	13:19:04 902838
327	13:19:04 927860
328	13:19:04 952866
329	13:19:04 977763
330	13:19:05 2793
331	13:19:05 27976
332	13:19:05 52931
333	13:19:05 77828
334	13:19:05 102757
335	13:19:05 127913
336	13:19:05 152887
337	13:19:05 177804
338	13:19:05 202816
339	13:19:05 227919
340	13:19:05 252970
341	13:19:05 277951
342	13:19:05 302833
343	13:19:05 327790
344	13:19:05 352873
345	13:19:05 377936
346	13:19:05 402956
347	13:19:05 427782
348	13:19:05 452919
349	13:19:05 478010
350	13:19:05 502884
351	13:19:05 527848
352	13:19:05 552803
353	13:19:05 577884
354	13:19:05 602882
355	13:19:05 627948
356	13:19:05 652853
357	13:19:05 677853
358	13:19:05 702913
359	13:19:05 727818
360	13:19:05 752930
361	13:19:05 777800
362	13:19:05 802899
363	13:19:05 827970
364	13:19:05 852841
365	13:19:05 877938
366	13:19:05 902808
367	13:19:05 927885
368	13:19:05 952861
369	13:19:05 977941
370	13:19:06 2865
371	13:19:06 27912
372	13:19:06 52845
373	13:19:06 77811
374	13:19:06 102841
375	13:19:06 127767
376	13:19:06 152844
377	13:19:06 177847
378	13:19:06 202897
379	13:19:06 227859
380	13:19:06 252841
381	13:19:06 277968
382	13:19:06 302876
383	13:19:06 327984
384	13:19:06 352971
385	13:19:06 378017
386	13:19:06 402926
387	13:19:06 427941
388	13:19:06 452975
389	13:19:06 477918
390	13:19:06 502928
391	13:19:06 527771
392	13:19:06 552959
393	13:19:06 577916
