Frame#	Time
0	10:14:34 38480
1	10:14:34 63499
2	10:14:34 88384
3	10:14:34 113529
4	10:14:34 138329
5	10:14:34 163467
6	10:14:34 188412
7	10:14:34 213586
8	10:14:34 238377
9	10:14:34 263444
10	10:14:34 288408
11	10:14:34 313435
12	10:14:34 338400
13	10:14:34 363483
14	10:14:34 388359
15	10:14:34 413453
16	10:14:34 438415
17	10:14:34 463358
18	10:14:34 488426
19	10:14:34 513437
20	10:14:34 538485
21	10:14:34 563404
22	10:14:34 588462
23	10:14:34 613431
24	10:14:34 638397
25	10:14:34 663492
26	10:14:34 688452
27	10:14:34 713425
28	10:14:34 738410
29	10:14:34 763336
30	10:14:34 788357
31	10:14:34 813478
32	10:14:34 838397
33	10:14:34 863491
34	10:14:34 888486
35	10:14:34 913443
36	10:14:34 938412
37	10:14:34 963458
38	10:14:34 988389
39	10:14:35 13523
40	10:14:35 38427
41	10:14:35 63453
42	10:14:35 88491
43	10:14:35 113574
44	10:14:35 138471
45	10:14:35 163480
46	10:14:35 188538
47	10:14:35 213506
48	10:14:35 238479
49	10:14:35 263465
50	10:14:35 288408
51	10:14:35 313487
52	10:14:35 338484
53	10:14:35 363417
54	10:14:35 388383
55	10:14:35 413539
56	10:14:35 438480
57	10:14:35 463519
58	10:14:35 488387
59	10:14:35 513417
60	10:14:35 538514
61	10:14:35 563446
62	10:14:35 588410
63	10:14:35 613513
64	10:14:35 638438
65	10:14:35 663422
66	10:14:35 688474
67	10:14:35 713563
68	10:14:35 738512
69	10:14:35 763717
70	10:14:35 788516
71	10:14:35 813618
72	10:14:35 838559
73	10:14:35 863557
74	10:14:35 888393
75	10:14:35 913604
76	10:14:35 938437
77	10:14:35 963499
78	10:14:35 988493
79	10:14:36 13466
80	10:14:36 38443
81	10:14:36 63451
82	10:14:36 88462
83	10:14:36 113462
84	10:14:36 138417
85	10:14:36 163509
86	10:14:36 188557
87	10:14:36 213456
88	10:14:36 238485
89	10:14:36 263516
90	10:14:36 288554
91	10:14:36 313486
92	10:14:36 338491
93	10:14:36 363545
94	10:14:36 388508
95	10:14:36 413516
96	10:14:36 438585
97	10:14:36 463544
98	10:14:36 488568
99	10:14:36 513621
100	10:14:36 538483
101	10:14:36 563527
102	10:14:36 588614
103	10:14:36 613546
104	10:14:36 638514
105	10:14:36 663573
106	10:14:36 688549
107	10:14:36 713599
108	10:14:36 738589
109	10:14:36 763586
110	10:14:36 788503
111	10:14:36 813620
112	10:14:36 838435
113	10:14:36 863688
114	10:14:36 888515
115	10:14:36 913537
116	10:14:36 938512
117	10:14:36 963506
118	10:14:36 988553
119	10:14:37 13561
120	10:14:37 38594
121	10:14:37 63546
122	10:14:37 88502
123	10:14:37 113634
124	10:14:37 138543
125	10:14:37 163555
126	10:14:37 188507
127	10:14:37 213676
128	10:14:37 238564
129	10:14:37 263625
130	10:14:37 288509
131	10:14:37 313642
132	10:14:37 338486
133	10:14:37 363658
134	10:14:37 388501
135	10:14:37 413614
136	10:14:37 438635
137	10:14:37 463573
138	10:14:37 488502
139	10:14:37 513535
140	10:14:37 538542
141	10:14:37 563584
142	10:14:37 588569
143	10:14:37 613612
144	10:14:37 638561
145	10:14:37 663529
146	10:14:37 688517
147	10:14:37 713617
148	10:14:37 738480
149	10:14:37 763682
150	10:14:37 788566
151	10:14:37 813690
152	10:14:37 838584
153	10:14:37 863622
154	10:14:37 888663
155	10:14:37 913648
156	10:14:37 938659
157	10:14:37 963584
158	10:14:37 988671
159	10:14:38 13643
160	10:14:38 38573
161	10:14:38 63558
162	10:14:38 88497
163	10:14:38 113618
164	10:14:38 138550
165	10:14:38 163654
166	10:14:38 188600
167	10:14:38 213713
168	10:14:38 238647
169	10:14:38 263577
170	10:14:38 288660
171	10:14:38 313630
172	10:14:38 338692
173	10:14:38 363650
174	10:14:38 388581
175	10:14:38 413595
176	10:14:38 438652
177	10:14:38 463646
178	10:14:38 488603
179	10:14:38 513635
180	10:14:38 538631
181	10:14:38 563576
182	10:14:38 588595
183	10:14:38 613638
184	10:14:38 638592
185	10:14:38 663588
186	10:14:38 688569
187	10:14:38 713683
188	10:14:38 738727
189	10:14:38 763661
190	10:14:38 788631
191	10:14:38 813718
192	10:14:38 838647
193	10:14:38 863698
194	10:14:38 888682
195	10:14:38 913646
196	10:14:38 938604
197	10:14:38 963686
198	10:14:38 988635
199	10:14:39 13728
200	10:14:39 38624
201	10:14:39 63764
202	10:14:39 88601
203	10:14:39 113666
204	10:14:39 138601
205	10:14:39 163640
206	10:14:39 188682
207	10:14:39 213658
208	10:14:39 238662
209	10:14:39 263721
210	10:14:39 288644
211	10:14:39 313664
212	10:14:39 338726
213	10:14:39 363645
214	10:14:39 388714
215	10:14:39 413661
216	10:14:39 438633
217	10:14:39 463525
218	10:14:39 488605
219	10:14:39 513707
220	10:14:39 538739
221	10:14:39 563642
222	10:14:39 588628
223	10:14:39 613721
224	10:14:39 638603
225	10:14:39 663709
226	10:14:39 688566
227	10:14:39 713741
228	10:14:39 738654
229	10:14:39 763712
230	10:14:39 788761
231	10:14:39 813658
232	10:14:39 838788
233	10:14:39 863682
234	10:14:39 888747
235	10:14:39 913647
236	10:14:39 938650
237	10:14:39 963662
238	10:14:39 988690
239	10:14:40 13611
240	10:14:40 38918
241	10:14:40 63696
242	10:14:40 88799
243	10:14:40 113746
244	10:14:40 138677
245	10:14:40 163709
246	10:14:40 188737
247	10:14:40 213744
248	10:14:40 238701
249	10:14:40 263790
250	10:14:40 288710
251	10:14:40 313729
252	10:14:40 338655
253	10:14:40 363664
254	10:14:40 388684
255	10:14:40 413715
256	10:14:40 438651
257	10:14:40 463757
258	10:14:40 488678
259	10:14:40 513713
260	10:14:40 538637
261	10:14:40 563704
262	10:14:40 588706
263	10:14:40 613581
264	10:14:40 638747
265	10:14:40 663676
266	10:14:40 688747
267	10:14:40 713668
268	10:14:40 738782
269	10:14:40 763695
270	10:14:40 788705
271	10:14:40 813707
272	10:14:40 838763
273	10:14:40 863698
274	10:14:40 888707
275	10:14:40 913753
276	10:14:40 938748
277	10:14:40 963674
278	10:14:40 988773
279	10:14:41 13694
280	10:14:41 38748
281	10:14:41 63677
282	10:14:41 88731
283	10:14:41 113773
284	10:14:41 138638
285	10:14:41 163769
286	10:14:41 188741
287	10:14:41 213849
288	10:14:41 238748
289	10:14:41 263815
290	10:14:41 288813
291	10:14:41 313712
292	10:14:41 338739
293	10:14:41 363773
294	10:14:41 388780
295	10:14:41 413721
296	10:14:41 438836
297	10:14:41 463787
298	10:14:41 488820
299	10:14:41 513796
300	10:14:41 538768
