Time	Position	Counts	Elapsed	USecs
10:14:33 913448	70.0125	140025	436198.716	436198793
10:14:33 945354	70.11	140220	436230.622	436230644
10:14:33 977316	70.30200000000001	140604	436262.584	436262619
10:14:34 9334	70.589	141178	436294.602	436294625
10:14:34 41271	70.9705	141941	436326.539	436326564
10:14:34 89170	71.6555	143311	436374.438	436374464
10:14:34 121141	72.18600000000001	144372	436406.409	436406436
10:14:34 153120	72.634	145268	436438.388	436438417
10:14:34 185084	73.1135	146227	436470.352	436470388
10:14:34 217049	73.589	147178	436502.317	436502345
10:14:34 249002	74.072	148144	436534.27	436534292
10:14:34 280939	74.54300000000001	149086	436566.207	436566235
10:14:34 312937	75.0265	150053	436598.205	436598234
10:14:34 344911	75.51649999999999	151033	436630.179	436630207
10:14:34 376847	75.992	151984	436662.115	436662137
10:14:34 408879	76.45950000000001	152919	436694.147	436694171
10:14:34 440850	76.95	153900	436726.118	436726143
10:14:34 472773	77.41800000000001	154836	436758.041	436758070
10:14:34 504825	77.904	155808	436790.093	436790121
10:14:34 536731	78.37949999999999	156759	436821.999	436822026
10:14:34 568707	78.858	157716	436853.975	436854004
10:14:34 600680	79.33	158660	436885.948	436885978
10:14:34 632684	79.8125	159625	436917.952	436917981
10:14:34 664587	80.288	160576	436949.855	436949882
10:14:34 696597	80.7705	161541	436981.865	436981888
10:14:34 728546	81.25	162500	437013.814	437013842
10:14:34 760551	81.721	163442	437045.819	437045849
10:14:34 792468	82.212	164424	437077.736	437077788
10:14:34 824444	82.691	165382	437109.712	437109740
10:14:34 856421	83.1585	166317	437141.689	437141717
10:14:34 888341	83.6405	167281	437173.609	437173639
10:14:34 920303	84.1165	168233	437205.571	437205616
10:14:34 952264	84.5985	169197	437237.532	437237555
10:14:34 984276	85.08199999999999	170164	437269.544	437269567
10:14:35 16173	85.557	171114	437301.441	437301468
10:14:35 48136	86.032	172064	437333.404	437333426
10:14:35 80164	86.51049999999999	173021	437365.432	437365454
10:14:35 112063	86.98999999999999	173980	437397.331	437397353
10:14:35 144075	87.465	174930	437429.343	437429371
10:14:35 176063	87.944	175888	437461.331	437461359
10:14:35 207963	88.431	176862	437493.231	437493257
10:14:35 239960	88.90600000000001	177812	437525.228	437525253
10:14:35 271919	89.3815	178763	437557.187	437557215
10:14:35 303872	89.8595	179719	437589.14	437589169
10:14:35 335846	90.339	180678	437621.114	437621142
10:14:35 367805	90.81	181620	437653.073	437653103
10:14:35 399765	91.29300000000001	182586	437685.033	437685056
10:14:35 431778	91.77549999999999	183551	437717.046	437717076
10:14:35 463698	92.25149999999999	184503	437748.966	437748995
10:14:35 495677	92.7265	185453	437780.945	437780978
10:14:35 527644	93.217	186434	437812.912	437812934
10:14:35 559581	93.684	187368	437844.849	437844888
10:14:35 591553	94.167	188334	437876.821	437876864
10:14:35 623511	94.65349999999999	189307	437908.779	437908807
10:14:35 655499	95.1255	190251	437940.767	437940795
10:14:35 687451	95.6005	191201	437972.719	437972742
10:14:35 719396	96.07550000000001	192151	438004.664	438004692
10:14:35 751355	96.562	193124	438036.623	438036645
10:14:35 783318	97.045	194090	438068.586	438068621
10:14:35 815273	97.5125	195025	438100.541	438100569
10:14:35 847293	97.9945	195989	438132.561	438132591
10:14:35 879195	98.47750000000001	196955	438164.463	438164501
10:14:35 911104	98.9605	197921	438196.372	438196394
10:14:35 943114	99.432	198864	438228.382	438228410
10:14:35 975048	99.90349999999999	199807	438260.316	438260344
10:14:36 7006	100.3865	200773	438292.274	438292296
10:14:36 38973	100.861	201722	438324.241	438324276
10:14:36 70921	101.3405	202681	438356.189	438356217
10:14:36 102930	101.8155	203631	438388.198	438388226
10:14:36 134854	102.3025	204605	438420.122	438420150
10:14:36 166834	102.785	205570	438452.102	438452132
10:14:36 198759	103.2645	206529	438484.027	438484056
10:14:36 230722	103.7395	207479	438515.99	438516014
10:14:36 262718	104.211	208422	438547.986	438548008
10:14:36 294630	104.693	209386	438579.898	438579921
10:14:36 326587	105.1725	210345	438611.855	438611882
10:14:36 358530	105.6475	211295	438643.798	438643827
