Frame#	Time
290	10:51:55 279278
291	10:51:55 304448
292	10:51:55 329282
293	10:51:55 354389
294	10:51:55 379404
295	10:51:55 404386
296	10:51:55 429347
297	10:51:55 454346
298	10:51:55 479314
299	10:51:55 504476
300	10:51:55 529387
301	10:51:55 554353
302	10:51:55 579312
303	10:51:55 604384
304	10:51:55 629267
305	10:51:55 654366
306	10:51:55 679518
307	10:51:55 704397
308	10:51:55 729365
309	10:51:55 754527
310	10:51:55 779304
311	10:51:55 804339
312	10:51:55 829370
313	10:51:55 854672
314	10:51:55 879335
315	10:51:55 904412
316	10:51:55 929364
317	10:51:55 954438
318	10:51:55 979360
319	10:51:56 4378
320	10:51:56 29487
321	10:51:56 54456
322	10:51:56 79423
323	10:51:56 104377
324	10:51:56 129403
325	10:51:56 154429
326	10:51:56 179353
327	10:51:56 204367
328	10:51:56 229282
329	10:51:56 254448
330	10:51:56 279463
331	10:51:56 304440
332	10:51:56 329444
333	10:51:56 354413
334	10:51:56 379388
335	10:51:56 404348
336	10:51:56 429346
337	10:51:56 454397
338	10:51:56 479365
339	10:51:56 504426
