Time	Position	Counts	Elapsed	USecs
10:51:53 131264	147.2625	294525	2675416.532	2675416557
10:51:53 163186	147.745	295490	2675448.454	2675448476
10:51:53 195166	148.2205	296441	2675480.434	2675480456
10:51:53 227106	148.7025	297405	2675512.374	2675512402
10:51:53 259083	149.186	298372	2675544.351	2675544371
10:51:53 291062	149.653	299306	2675576.33	2675576354
10:51:53 323012	150.136	300272	2675608.28	2675608303
10:51:53 354966	150.611	301222	2675640.234	2675640255
10:51:53 386924	151.094	302188	2675672.192	2675672216
10:51:53 418913	151.5765	303153	2675704.181	2675704202
10:51:53 450857	152.052	304104	2675736.125	2675736146
10:51:53 482858	152.531	305062	2675768.126	2675768145
10:51:53 514825	153.01	306020	2675800.093	2675800116
10:51:53 546777	153.4925	306985	2675832.045	2675832068
10:51:53 578682	153.96	307920	2675863.95	2675863976
10:51:53 610675	154.439	308878	2675895.943	2675895965
10:51:53 642633	154.9145	309829	2675927.901	2675927924
10:51:53 674609	155.401	310802	2675959.877	2675959899
10:51:53 706542	155.8835	311767	2675991.81	2675991835
10:51:53 738537	156.355	312710	2676023.805	2676023833
10:51:53 770507	156.83	313660	2676055.775	2676055819
10:51:53 802445	157.313	314626	2676087.713	2676087736
10:51:53 834429	157.7955	315591	2676119.697	2676119721
10:51:53 866358	158.2635	316527	2676151.626	2676151658
10:51:53 898519	158.7425	317485	2676183.787	2676183816
10:51:53 930272	159.2255	318451	2676215.54	2676215562
10:51:53 962267	159.7005	319401	2676247.535	2676247575
10:51:53 994277	160.1835	320367	2676279.545	2676279568
10:51:54 26153	160.658	321316	2676311.421	2676311443
10:51:54 58099	161.1335	322267	2676343.367	2676343389
10:51:54 90096	161.616	323232	2676375.364	2676375418
10:51:54 122047	162.0915	324183	2676407.315	2676407348
10:51:54 154099	162.5745	325149	2676439.367	2676439396
10:51:54 185978	163.0495	326099	2676471.246	2676471267
10:51:54 217913	163.5325	327065	2676503.181	2676503202
10:51:54 249951	164.015	328030	2676535.219	2676535243
10:51:54 281894	164.49	328980	2676567.162	2676567185
10:51:54 313896	164.965	329930	2676599.164	2676599200
10:51:54 345796	165.4485	330897	2676631.064	2676631086
10:51:54 377727	165.9235	331847	2676662.995	2676663017
10:51:54 409728	166.3985	332797	2676694.996	2676695032
10:51:54 441658	166.881	333762	2676726.926	2676726948
10:51:54 473643	167.3565	334713	2676758.911	2676758938
10:51:54 505588	167.8395	335679	2676790.856	2676790880
10:51:54 537581	168.314	336628	2676822.849	2676822877
10:51:54 569506	168.7895	337579	2676854.774	2676854796
10:51:54 601452	169.2725	338545	2676886.72	2676886742
10:51:54 633417	169.748	339496	2676918.685	2676918723
10:51:54 665352	170.2385	340477	2676950.62	2676950641
10:51:54 697312	170.702	341404	2676982.58	2676982601
10:51:54 729320	171.1805	342361	2677014.588	2677014642
10:51:54 761273	171.6705	343341	2677046.541	2677046570
10:51:54 793278	172.143	344286	2677078.546	2677078570
10:51:54 825163	172.6215	345243	2677110.431	2677110452
10:51:54 857132	173.093	346186	2677142.4	2677142420
10:51:54 889090	173.576	347152	2677174.358	2677174386
10:51:54 921066	174.059	348118	2677206.334	2677206356
10:51:54 952978	174.538	349076	2677238.246	2677238275
10:51:54 984977	175.0125	350025	2677270.245	2677270267
10:51:55 16911	175.491	350982	2677302.179	2677302201
10:51:55 48845	175.9665	351933	2677334.113	2677334134
10:51:55 80834	176.442	352884	2677366.102	2677366129
10:51:55 112755	176.925	353850	2677398.023	2677398050
10:51:55 144726	177.4	354800	2677429.994	2677430015
10:51:55 176665	177.8825	355765	2677461.933	2677461963
10:51:55 208651	178.358	356716	2677493.919	2677493949
10:51:55 240583	178.8325	357665	2677525.851	2677525878
10:51:55 272542	179.3155	358631	2677557.81	2677557832
10:51:55 304581	179.7985	359597	2677589.849	2677589883
10:51:55 336535	180.274	360548	2677621.803	2677621831
10:51:55 368459	180.7535	361507	2677653.727	2677653748
10:51:55 400393	181.2325	362465	2677685.661	2677685683
10:51:55 432373	181.715	363430	2677717.641	2677717672
10:51:55 464319	182.19	364380	2677749.587	2677749611
10:51:55 496318	182.6645	365329	2677781.586	2677781622
10:51:55 528267	183.14	366280	2677813.535	2677813558
10:51:55 560197	183.623	367246	2677845.465	2677845492
10:51:55 592180	184.098	368196	2677877.448	2677877496
10:51:55 624150	184.5805	369161	2677909.418	2677909440
10:51:55 656095	185.064	370128	2677941.363	2677941388
10:51:55 688045	185.539	371078	2677973.313	2677973336
10:51:55 720011	186.014	372028	2678005.279	2678005311
10:51:55 752000	186.4885	372977	2678037.268	2678037289
10:51:55 783960	186.9715	373943	2678069.228	2678069251
10:51:55 815956	187.4515	374903	2678101.224	2678101250
10:51:55 847862	187.938	375876	2678133.13	2678133151
10:51:55 879833	188.405	376810	2678165.101	2678165120
10:51:55 911780	188.884	377768	2678197.048	2678197076
10:51:55 943795	189.367	378734	2678229.063	2678229084
10:51:55 975707	189.8495	379699	2678260.975	2678261002
10:51:56 7707	190.317	380634	2678292.975	2678293002
10:51:56 39589	190.7995	381599	2678324.857	2678324885
10:51:56 71589	191.2825	382565	2678356.857	2678356894
10:51:56 103609	191.75	383500	2678388.877	2678388909
10:51:56 135497	192.233	384466	2678420.765	2678420794
10:51:56 167462	192.7085	385417	2678452.73	2678452752
10:51:56 199412	193.199	386398	2678484.68	2678484702
10:51:56 231414	193.6665	387333	2678516.682	2678516711
10:51:56 263397	194.1495	388299	2678548.665	2678548686
10:51:56 295296	194.6245	389249	2678580.564	2678580586
10:51:56 327267	195.0995	390199	2678612.535	2678612557
10:51:56 359269	195.583	391166	2678644.537	2678644558
10:51:56 391291	196.0575	392115	2678676.559	2678676581
10:51:56 423222	196.54	393080	2678708.49	2678708512
10:51:56 455113	197.015	394030	2678740.381	2678740394
10:51:56 487118	197.49	394980	2678772.386	2678772426
10:51:56 519008	197.977	395954	2678804.276	2678804305
10:51:56 550989	198.4565	396913	2678836.257	2678836280
10:51:56 582964	198.9285	397857	2678868.232	2678868253
10:51:56 614905	199.3465	398693	2678900.173	2678900196
10:51:56 646844	199.662	399324	2678932.112	2678932135
10:51:56 678841	199.875	399750	2678964.109	2678964138
10:51:56 710781	199.987	399974	2678996.049	2678996072
10:51:56 742721	200.003	400006	2679027.989	2679028016
10:51:56 774708	200.003	400006	2679059.976	2679060003
10:51:56 806670	200.0025	400005	2679091.938	2679091961
10:51:56 838635	200.002	400004	2679123.903	2679123923
10:51:56 870583	200.0015	400003	2679155.851	2679155873
