Frame#	Time
127	10:47:07 489407
128	10:47:07 514443
129	10:47:07 539422
130	10:47:07 564450
131	10:47:07 589449
132	10:47:07 614570
133	10:47:07 639497
134	10:47:07 664511
135	10:47:07 689494
136	10:47:07 714492
137	10:47:07 739552
138	10:47:07 764457
139	10:47:07 789501
140	10:47:07 814436
141	10:47:07 839446
142	10:47:07 864381
143	10:47:07 889590
144	10:47:07 914581
145	10:47:07 939576
146	10:47:07 964489
147	10:47:07 989422
148	10:47:08 14523
149	10:47:08 39456
150	10:47:08 64482
151	10:47:08 89483
152	10:47:08 114510
153	10:47:08 139437
154	10:47:08 164489
155	10:47:08 189537
156	10:47:08 214452
157	10:47:08 239424
158	10:47:08 264498
159	10:47:08 289449
160	10:47:08 314565
161	10:47:08 339476
162	10:47:08 364558
163	10:47:08 389487
164	10:47:08 414546
165	10:47:08 439584
166	10:47:08 464518
167	10:47:08 489536
168	10:47:08 514501
169	10:47:08 539524
170	10:47:08 564596
171	10:47:08 589446
172	10:47:08 614489
173	10:47:08 639504
174	10:47:08 664543
175	10:47:08 689627
176	10:47:08 714523
177	10:47:08 739558
178	10:47:08 764491
179	10:47:08 789546
180	10:47:08 814572
181	10:47:08 839563
182	10:47:08 864494
183	10:47:08 889508
184	10:47:08 914567
185	10:47:08 939615
186	10:47:08 964480
187	10:47:08 989577
188	10:47:09 14597
189	10:47:09 39587
190	10:47:09 64531
191	10:47:09 89525
192	10:47:09 114617
193	10:47:09 139546
194	10:47:09 164557
195	10:47:09 189547
196	10:47:09 214516
197	10:47:09 239546
198	10:47:09 264561
199	10:47:09 289493
200	10:47:09 314545
201	10:47:09 339547
202	10:47:09 364533
203	10:47:09 389543
204	10:47:09 414527
205	10:47:09 439543
206	10:47:09 464532
207	10:47:09 489522
208	10:47:09 514667
209	10:47:09 539603
210	10:47:09 564628
211	10:47:09 589544
212	10:47:09 614571
213	10:47:09 639561
214	10:47:09 664643
215	10:47:09 689545
216	10:47:09 714583
217	10:47:09 739588
218	10:47:09 764570
219	10:47:09 789547
220	10:47:09 814606
221	10:47:09 839588
222	10:47:09 864582
223	10:47:09 889578
224	10:47:09 914598
225	10:47:09 939536
226	10:47:09 964605
227	10:47:09 989600
228	10:47:10 14600
229	10:47:10 39610
230	10:47:10 64537
231	10:47:10 89721
232	10:47:10 114680
233	10:47:10 139544
234	10:47:10 164610
235	10:47:10 189563
236	10:47:10 214582
237	10:47:10 239643
238	10:47:10 264643
239	10:47:10 289577
240	10:47:10 314715
241	10:47:10 339589
242	10:47:10 364555
243	10:47:10 389529
244	10:47:10 414719
245	10:47:10 439691
246	10:47:10 464617
247	10:47:10 489553
248	10:47:10 514705
249	10:47:10 539608
250	10:47:10 564628
251	10:47:10 589609
252	10:47:10 614651
253	10:47:10 639600
254	10:47:10 664676
255	10:47:10 689677
256	10:47:10 714594
257	10:47:10 739533
258	10:47:10 764639
259	10:47:10 789667
260	10:47:10 814537
261	10:47:10 839617
262	10:47:10 864594
263	10:47:10 889588
264	10:47:10 914649
265	10:47:10 939702
266	10:47:10 964569
267	10:47:10 989719
268	10:47:11 14578
269	10:47:11 39645
270	10:47:11 64734
271	10:47:11 89635
272	10:47:11 114656
273	10:47:11 139666
274	10:47:11 164683
275	10:47:11 189589
276	10:47:11 214686
277	10:47:11 239636
278	10:47:11 264633
279	10:47:11 289691
280	10:47:11 314631
281	10:47:11 339703
282	10:47:11 364647
283	10:47:11 389607
284	10:47:11 414693
285	10:47:11 439617
286	10:47:11 464758
287	10:47:11 489782
288	10:47:11 514668
289	10:47:11 539664
290	10:47:11 564743
291	10:47:11 589612
292	10:47:11 614618
293	10:47:11 639807
294	10:47:11 664627
295	10:47:11 689652
296	10:47:11 714612
297	10:47:11 739645
298	10:47:11 764634
299	10:47:11 789649
300	10:47:11 814737
301	10:47:11 839694
302	10:47:11 864734
303	10:47:11 889741
304	10:47:11 914714
305	10:47:11 939705
306	10:47:11 964708
307	10:47:11 989748
308	10:47:12 14642
309	10:47:12 39629
310	10:47:12 64681
311	10:47:12 89726
312	10:47:12 114661
313	10:47:12 139636
314	10:47:12 164744
315	10:47:12 189641
316	10:47:12 214716
317	10:47:12 239716
318	10:47:12 264655
319	10:47:12 289647
320	10:47:12 314763
321	10:47:12 339662
322	10:47:12 364699
323	10:47:12 389733
324	10:47:12 414603
325	10:47:12 439694
326	10:47:12 464708
327	10:47:12 489725
328	10:47:12 514706
329	10:47:12 539741
330	10:47:12 564748
331	10:47:12 589727
332	10:47:12 614800
333	10:47:12 639804
334	10:47:12 664839
335	10:47:12 689685
336	10:47:12 714790
337	10:47:12 739856
338	10:47:12 764704
339	10:47:12 789814
