Frame#	Time
0	10:47:04 314428
1	10:47:04 339421
2	10:47:04 364313
3	10:47:04 389307
4	10:47:04 414332
5	10:47:04 439382
6	10:47:04 464325
7	10:47:04 489328
8	10:47:04 514366
9	10:47:04 539358
10	10:47:04 564295
11	10:47:04 589485
12	10:47:04 614268
13	10:47:04 639280
14	10:47:04 664246
15	10:47:04 689410
16	10:47:04 714425
17	10:47:04 739392
18	10:47:04 764315
19	10:47:04 789327
20	10:47:04 814363
21	10:47:04 839322
22	10:47:04 864372
23	10:47:04 889390
24	10:47:04 914452
25	10:47:04 939313
26	10:47:04 964342
27	10:47:04 989376
28	10:47:05 14289
29	10:47:05 39378
30	10:47:05 64417
31	10:47:05 89454
32	10:47:05 114344
33	10:47:05 139400
34	10:47:05 164301
35	10:47:05 189380
36	10:47:05 214383
37	10:47:05 239427
38	10:47:05 264320
39	10:47:05 289423
40	10:47:05 314329
41	10:47:05 339407
42	10:47:05 364293
43	10:47:05 389408
44	10:47:05 414347
45	10:47:05 439390
46	10:47:05 464337
47	10:47:05 489419
48	10:47:05 514422
49	10:47:05 539385
50	10:47:05 564387
51	10:47:05 589382
52	10:47:05 614335
53	10:47:05 639379
54	10:47:05 664365
55	10:47:05 689390
56	10:47:05 714398
57	10:47:05 739493
58	10:47:05 764304
59	10:47:05 789385
60	10:47:05 814275
61	10:47:05 839427
62	10:47:05 864391
63	10:47:05 889415
64	10:47:05 914295
65	10:47:05 939334
66	10:47:05 964367
67	10:47:05 989378
68	10:47:06 14412
69	10:47:06 39388
70	10:47:06 64281
71	10:47:06 89367
72	10:47:06 114311
73	10:47:06 139372
74	10:47:06 164421
75	10:47:06 189499
76	10:47:06 214445
77	10:47:06 239411
78	10:47:06 264400
79	10:47:06 289456
80	10:47:06 314416
81	10:47:06 339552
82	10:47:06 364528
83	10:47:06 389361
84	10:47:06 414401
85	10:47:06 439442
86	10:47:06 464408
87	10:47:06 489357
88	10:47:06 514448
89	10:47:06 539414
90	10:47:06 564345
91	10:47:06 589436
92	10:47:06 614420
93	10:47:06 639400
94	10:47:06 664378
95	10:47:06 689458
96	10:47:06 714475
97	10:47:06 739437
98	10:47:06 764453
99	10:47:06 789469
100	10:47:06 814443
101	10:47:06 839446
102	10:47:06 864368
103	10:47:06 889440
104	10:47:06 914372
105	10:47:06 939430
106	10:47:06 964575
107	10:47:06 989450
108	10:47:07 14415
109	10:47:07 39444
110	10:47:07 64517
111	10:47:07 89479
112	10:47:07 114483
113	10:47:07 139458
114	10:47:07 164452
115	10:47:07 189450
116	10:47:07 214447
117	10:47:07 239444
118	10:47:07 264400
119	10:47:07 289498
120	10:47:07 314464
121	10:47:07 339461
122	10:47:07 364397
123	10:47:07 389397
124	10:47:07 414476
125	10:47:07 439606
126	10:47:07 464431
