Time	Position	Counts	Elapsed	USecs
10:47:04 211042	70.018	140036	2386496.31	2386496338
10:47:04 258973	70.214	140428	2386544.241	2386544263
10:47:04 290969	70.6225	141245	2386576.237	2386576259
10:47:04 322923	71.014	142028	2386608.191	2386608218
10:47:04 354881	71.47150000000001	142943	2386640.149	2386640181
10:47:04 386855	71.925	143850	2386672.123	2386672150
10:47:04 418765	72.389	144778	2386704.033	2386704054
10:47:04 450797	72.864	145728	2386736.065	2386736103
10:47:04 482737	73.3475	146695	2386768.005	2386768027
10:47:04 514666	73.83	147660	2386799.934	2386799960
10:47:04 546682	74.298	148596	2386831.95	2386831978
10:47:04 578634	74.7805	149561	2386863.902	2386863929
10:47:04 610598	75.26000000000001	150520	2386895.866	2386895889
10:47:04 658557	75.846	151692	2386943.825	2386943865
10:47:04 690504	76.4635	152927	2386975.772	2386975793
10:47:04 722471	76.931	153862	2387007.739	2387007765
10:47:04 754458	77.41	154820	2387039.726	2387039754
10:47:04 786421	77.88849999999999	155777	2387071.689	2387071721
10:47:04 818365	78.372	156744	2387103.633	2387103654
10:47:04 850297	78.8545	157709	2387135.565	2387135588
10:47:04 882297	79.32250000000001	158645	2387167.565	2387167594
10:47:04 914261	79.80500000000001	159610	2387199.529	2387199560
10:47:04 946194	80.28449999999999	160569	2387231.462	2387231484
10:47:04 978134	80.76649999999999	161533	2387263.402	2387263425
10:47:05 10115	81.24250000000001	162485	2387295.383	2387295409
10:47:05 42128	81.717	163434	2387327.396	2387327423
10:47:05 74058	82.20050000000001	164401	2387359.326	2387359350
10:47:05 106060	82.6825	165365	2387391.328	2387391349
10:47:05 137999	83.15049999999999	166301	2387423.267	2387423300
10:47:05 169918	83.629	167258	2387455.186	2387455214
10:47:05 201912	84.10850000000001	168217	2387487.18	2387487201
10:47:05 233861	84.59099999999999	169182	2387519.129	2387519157
10:47:05 265853	85.0665	170133	2387551.121	2387551143
10:47:05 297808	85.545	171090	2387583.076	2387583097
10:47:05 329768	86.0205	172041	2387615.036	2387615064
10:47:05 361776	86.503	173006	2387647.044	2387647064
10:47:05 393740	86.9825	173965	2387679.008	2387679050
10:47:05 425704	87.4575	174915	2387710.972	2387710996
10:47:05 457643	87.9405	175881	2387742.911	2387742934
10:47:05 489622	88.41549999999999	176831	2387774.89	2387774918
10:47:05 521612	88.89449999999999	177789	2387806.88	2387806916
10:47:05 553544	89.3775	178755	2387838.812	2387838833
10:47:05 585562	89.852	179704	2387870.83	2387870858
10:47:05 617474	90.33150000000001	180663	2387902.742	2387902772
10:47:05 649455	90.8175	181635	2387934.723	2387934744
10:47:05 681415	91.2855	182571	2387966.683	2387966712
10:47:05 713410	91.77200000000001	183544	2387998.678	2387998705
10:47:05 745347	92.2555	184511	2388030.615	2388030637
10:47:05 777314	92.71899999999999	185438	2388062.582	2388062603
10:47:05 809284	93.202	186404	2388094.552	2388094580
10:47:05 841266	93.684	187368	2388126.534	2388126556
10:47:05 873285	94.15949999999999	188319	2388158.553	2388158582
10:47:05 905187	94.634	189268	2388190.455	2388190483
10:47:05 937109	95.11750000000001	190235	2388222.377	2388222409
10:47:05 969102	95.5925	191185	2388254.37	2388254390
10:47:06 1108	96.072	192144	2388286.376	2388286404
10:47:06 33000	96.5505	193101	2388318.268	2388318290
10:47:06 64950	97.026	194052	2388350.218	2388350230
10:47:06 96960	97.5085	195017	2388382.228	2388382250
10:47:06 128907	97.98350000000001	195967	2388414.175	2388414196
10:47:06 160869	98.474	196948	2388446.137	2388446159
10:47:06 192836	98.9415	197883	2388478.104	2388478124
10:47:06 224783	99.42449999999999	198849	2388510.051	2388510073
10:47:06 256708	99.8955	199791	2388541.976	2388541997
10:47:06 288704	100.375	200750	2388573.972	2388573994
10:47:06 320680	100.8535	201707	2388605.948	2388605976
10:47:06 352586	101.3365	202673	2388637.854	2388637876
10:47:06 384564	101.8115	203623	2388669.832	2388669860
10:47:06 416542	102.287	204574	2388701.81	2388701834
10:47:06 448532	102.7655	205531	2388733.8	2388733821
10:47:06 480507	103.2565	206513	2388765.775	2388765796
10:47:06 512463	103.7315	207463	2388797.731	2388797801
10:47:06 544426	104.2145	208429	2388829.694	2388829730
10:47:06 576366	104.6815	209363	2388861.634	2388861656
10:47:06 608313	105.157	210314	2388893.581	2388893603
10:47:06 640278	105.6395	211279	2388925.546	2388925566
10:47:06 672274	106.115	212230	2388957.542	2388957569
10:47:06 704283	106.598	213196	2388989.551	2388989579
10:47:06 736196	107.081	214162	2389021.464	2389021485
10:47:06 768157	107.5555	215111	2389053.425	2389053453
10:47:06 800145	108.031	216062	2389085.413	2389085437
10:47:06 832083	108.5215	217043	2389117.351	2389117378
10:47:06 864094	108.989	217978	2389149.362	2389149388
10:47:06 896032	109.479	218958	2389181.3	2389181321
10:47:06 928024	109.9465	219893	2389213.292	2389213316
10:47:06 959923	110.422	220844	2389245.191	2389245213
10:47:06 991894	110.905	221810	2389277.162	2389277193
10:47:07 23846	111.38	222760	2389309.114	2389309143
10:47:07 55825	111.859	223718	2389341.093	2389341114
10:47:07 87804	112.338	224676	2389373.072	2389373099
10:47:07 119846	112.8205	225641	2389405.114	2389405144
10:47:07 151721	113.296	226592	2389436.989	2389437019
10:47:07 183681	113.779	227558	2389468.949	2389468972
10:47:07 215690	114.2505	228501	2389500.958	2389500984
10:47:07 247648	114.7255	229451	2389532.916	2389532937
10:47:07 279590	115.2085	230417	2389564.858	2389564881
10:47:07 311568	115.687	231374	2389596.836	2389596857
10:47:07 343592	116.1665	232333	2389628.86	2389628881
10:47:07 375526	116.645	233290	2389660.794	2389660816
